id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
275861063,Walden Một Mình Sống Trong Rừng (Ấn Bản Bỏ Túi) - Bản Quyền,https://tiki.vn/product-p275861063.html?spid=275861064,149600,180000,17,5.0,55,Henry David Thoreau,Gooda Official,Du ký,Nhà Xuất Bản Tri Thức,"“Walden” là một hồi tưởng đầy chiêm nghiệm suy tư về quãng đời “hai năm hai tháng hai ngày” sống một mình trong một mảnh đất rừng bên cạnh đầm Walden, “Giọt nước của Trời”, “đáng yêu hơn kim cương” tr..."
274468056,Du Ký Việt Nam trên Nam Phong tạp chí (Hộp 2 cuốn),https://tiki.vn/product-p274468056.html?spid=274540893,712000,890000,20,4.0,1,"Nguyễn Hữu Sơn, Nhiều tác giả",Nhà Xuất Bản Trẻ,Du ký,NXB Trẻ,"Những đóng góp của Tạp chí Nam Phong (1917 - 1934)  trong việc xây dựng một nền quốc văn mới, phổ biến học thuật, giới thiệu những tư tưởng triết học, khoa học, văn chương, lịch sử… của cả Á và Âu tro..."
273842947,Vạn Dặm Đường Từ Một Bước Chân,https://tiki.vn/product-p273842947.html?spid=273842948,118000,159000,26,5.0,56,Mavis ViVu Ký,Tiki Trading,Du ký,Nhà Xuất Bản Phụ Nữ Việt Nam,"“Vạn dặm đường từ một bước chân” là hành trình của Mavis Vi Vu Ký khám phá 63 tỉnh thành Việt Nam trong 6 năm. Bạn có thể tìm thấy trong 248 trang sách một Mavis ngây ngô, háo hức trước những điều mới..."
210277405,Du hành cùng Herodotus,https://tiki.vn/product-p210277405.html?spid=210277409,94500,135000,30,4.7,157,Ryszard Kapuściński,Tiki Trading,Du ký,Nhà Xuất Bản Thế Giới,Du ký là mảnh đất màu mỡ lúc xa xôi khi lạ lẫm vẫn là ấn tượng của con người về thế giới rộng lớn bên ngoài. Tưởng chừng sự hoàn thành quá trình tìm hiểu cặn kẽ những miền đất lạ đã tước đi chỗ đứng c...
210277378,Gỗ mun,https://tiki.vn/product-p210277378.html?spid=210277384,113000,160000,29,4.5,202,Ryszard Kapuściński,Tiki Trading,Root,Nhà Xuất Bản Thế Giới,"Sơ lược về tác phẩmTrước hết là cái nhìn: Ryszard Kapuściński, đó là một cái nhìn luôn luôn độc đáo và thấu suốt, cho dù đối tượng sự quan sát của ông có là gì, và cho dù không mấy khi ông thích phân..."
196902142,Cơm nhà xứ Quảng (Tặng kèm 1 bộ postcard 6 tấm có gửi hình kèm theo),https://tiki.vn/product-p196902142.html?spid=196902144,91100,130000,30,5.0,46,Lưu Bình,Tiki Trading,Du ký,Nhà Xuất Bản Lao Động,"“Cơm nhà xứ Quảng” là những góc nhớ của tác giả về cái bếp xưa, về những món ăn đong đầy sự tảo tần, tình yêu và tấm lòng của những người bà, người mẹ dành cho gia đình, lối xóm và những sản vật quê h..."
193209826,Con Đường Tơ Lụa - Vạn Dặm Xa Từ Pakistan Tới Tây An,https://tiki.vn/product-p193209826.html?spid=193209828,90400,129000,30,5.0,290,Trần Hồng Ngọc,Tiki Trading,Du ký,Nhà Xuất Bản Lao Động,Con đường tơ lụa là một trong những tuyến đường giao thương quan trọng và vĩ đại của nhân loại trong suốt hơn 1.500 năm lịch sử. Đặt chân tới những địa danh trên con đường tơ lụa có lẽ là mơ ước của r...
192333128,Du Ký Phan Quang - Tiếc Nuối Hoa Hồng,https://tiki.vn/product-p192333128.html?spid=192333129,342000,450000,24,5.0,37,Phan Quang,Tiki Trading,Du ký,Nhà Xuất Bản Văn Học,"Tiếc nuối hoa hồng là tuyển tập du ký của nhà báo, nhà hoạt động đối ngoại Phan Quang. Các bài được viết vào những thời điểm khác nhau sau các chuyến đi công tác nước ngoài, đã in thành sách: Thơ thẩn..."
189588167,Con Đường Tơ Lụa,https://tiki.vn/product-p189588167.html?spid=189588168,90300,129000,30,4.8,129,Trần Hồng Ngọc,NHÀ SÁCH CHIBOOKS,Du ký,Nhà Xuất Bản Lao Động,CON ĐƯỜNG TƠ LỤA: Vạn dặm xa từ Pakistan tới Tây AnTác giả: Trần Hồng NgọcThể loại: kỹ năng - trải nghiệmTủ sách văn học Việt NamĐơn vị cấp phép: NXB Lao độngĐơn vị xuất bản và phát hành: Chibook...
135552449,Ngón Tay Mình Còn Thơm Mùi Oải Hương (Tái Bản Có Cập Nhật Chỉnh Sửa),https://tiki.vn/product-p135552449.html?spid=135552450,75000,136000,45,5.0,416,Ngô Thị Giáng Uyên,Tiki Trading,Sách tiếng Việt,NXB Trẻ,"Du ký châu Âu khoảng thời gian tác giả du học ở Anh Quốc 2004-2005, kinh nghiệm học hành, làm việc, đi hội nghị và tranh thủ du lịch, thưởng thức văn hóa và đời sống ở nhiều vùng đất, cả những kinh ng..."
109982962,Sự Thật Ta Nắm Giữ - Một Hành Trình Xuyên Nước Mỹ,https://tiki.vn/product-p109982962.html?spid=109982963,147000,149000,1,4.7,104,Kamala Harris,Tiki Trading,Du ký,Nhà Xuất Bản Dân Trí,"Được viết bởi một nhà lãnh đạo chính trị quyền lực bậc nhất Hoa Kỳ, nhưng cuốn sách không hề khiến độc giả ngợp trong những vấn đề chính trị khô khan. Như tác giả cũng khẳng định, đây không phải cương..."
103511951,Tinh Hoa Du Ký Trên Tri Tân Tạp Chí (1941-1945),https://tiki.vn/product-p103511951.html?spid=103511952,234000,259000,10,5.0,58,"Nguyễn Hữu Sơn, Trần Bá Dung",Tiki Trading,Du ký,Nhà Xuất Bản Thanh Niên,"Cuốn sách cung cấp tư liệu cho người yêu văn hóa, văn học, các ngành du lịch, địa phương học, nhân học và liên ngành khoa học xã hội … Tạp chí Tri Tân là Tuần báo do Nguyễn Tường Phượng làm chủ bút. ..."
76106026,Cô Đơn Trên Everest (Du Ký),https://tiki.vn/product-p76106026.html?spid=76262768,88200,126000,30,4.8,412,Di Li,Liên Việt Official Store,Du ký,Nhà Xuất Bản Hội Nhà Văn,"""Du ký của Di Li cuốn hút bởi rất nhiều chi tiết ngập tràn thông tin mới lạ, chính điều đó đã làm nên những câu chuyện. Di Li kể chuyện hấp dẫn, tỉ mỉ và thủ thỉ như một người bạn. Qua cách mà cô chia..."
53545646,Tây Tạng Huyền Bí & Nghệ Thuật Sinh Tử (Tái Bản 2020),https://tiki.vn/product-p53545646.html?spid=53545647,118800,175000,32,4.7,570,Đặng Hoàng Xa,Tiki Trading,Du ký,Nhà Xuất Bản Thế Giới,"Tây Tạng Huyền Bí & Nghệ Thuật Sinh Tử (Tái Bản 2020)Tây Tạng là một khu vực cao nguyên tại châu Á, ở phía bắc và đông của dãy núi Himalaya. Đây là quê hương của người Tạng cũng như một số dân tộ..."
33765288,Đi Thật Xa Trên Một Chiếc Camper,https://tiki.vn/product-p33765288.html?spid=33765289,115000,172000,33,4.8,105,,PHAN LỆ & FRIENDS,Sách tiếng Việt,Nhà Xuất Bản Phụ Nữ,"Khi bạn đọc cuốn sách đầy cảm hứng này, có thể tác giả vẫn đang dấn bước trên một cung đường xa xôi. Ở Khải Đơn, mỗi cuốn sách sẽ vẽ ra một hành trình và hứa hẹn một hành trình tiếp nối. Điều đó truyề..."
26412706,Đừng Chết Ở Ả Rập Xê Út,https://tiki.vn/product-p26412706.html?spid=26412707,70000,99000,29,4.8,931,Nghiêm Hương,Tiki Trading,Root,Nhà Xuất Bản Thế Giới,Cuốn sách là tự truyện của một người phụ nữ đi xuất khẩu lao động tại Ả Rập Xê Út với mong muốn đổi đời với lời hứa hẹn từ trung tâm. Chỉ đến khi đặt chân đến đất nước Ả Rập cô mới nhận ra mình bị lừa...
17406542,Thế Giới Rộng Lớn Đừng Đi Một Mình,https://tiki.vn/product-p17406542.html?spid=17406543,98300,119000,17,4.3,3257,Lý Thành Cơ,Tiki Trading,Sách tiếng Việt,Nhà Xuất Bản Phụ Nữ,"""Sợ thì sợ, nhưng nếu cứ sống mãi trong vùng sợ, liệu chúng ta có biết được tuổi trẻ của mình dài bao nhiêu?""Càng lớn, con người càng đem theo bên mình nhiều nỗi sợ. Sợ thất nghiệp, thất tình, sự ngh..."
