id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
278074054,Sách Chu Du Nhật Bản - Mười Năm Ở Vùng Đất Mặt Trời Mọc,https://tiki.vn/product-p278074054.html?spid=278074056,137000,180000,24,5.0,16,Chris Broad,Tiki Trading,Du ký,NXB Trẻ,"Chu du Nhật Bản - cuốn sách bán chạy nhất theo bình chọn của Sunday Times tháng 8 năm 2023 - ghi lại một thập kỷ sống ở Nhật của tác giả Chris Broad. Với những câu chuyện hài hước và hấp dẫn, cuốn sác..."
275853507,"Sách Vòng Quanh Châu Á – Nam Kỳ, Trung Kỳ, Bắc Kỳ",https://tiki.vn/product-p275853507.html?spid=275853511,160300,239000,33,4.0,47,Jean Marie Albert Marcel Monnier,Tiki Trading,Du ký,Nhà Xuất Bản Dân Trí,"Cuốn sách viết về hành trình du ký của Marcel Monnier đến với nhiều quốc gia tại châu Á, trong đó có An Nam - thời điểm đó là một trong những thuộc địa của Pháp. Sau chuyến đi này, ông đã viết một cuố..."
241821210,Sách Những Nẻo Đường Nước Mỹ - Tập 1: Hành Trình Của Người Đi Xuyên 50 Tiểu Bang,https://tiki.vn/product-p241821210.html?spid=241821211,203000,250000,19,5.0,84,Nguyễn Tiến Niệm,Tiki Trading,Du ký,Nhà Xuất Bản Thế Giới,"Mùa xuân năm 2007, lần đầu tiên tôi đặt chân đến xứ sở cờ hoa rộng lớn. Không kể Việt Nam là nơi tôi đang sinh sống, Mỹ là quốc gia tôi đến và ở lâu nhất, trên dưới 10 lần và đã ở đó với khoảng thời g..."
210277405,Sách Du hành cùng Herodotus,https://tiki.vn/product-p210277405.html?spid=210277409,108000,135000,20,4.8,164,Ryszard Kapuściński,Tiki Trading,Du ký,Nhà Xuất Bản Thế Giới,Du ký là mảnh đất màu mỡ lúc xa xôi khi lạ lẫm vẫn là ấn tượng của con người về thế giới rộng lớn bên ngoài. Tưởng chừng sự hoàn thành quá trình tìm hiểu cặn kẽ những miền đất lạ đã tước đi chỗ đứng c...
210277378,Sách Gỗ mun,https://tiki.vn/product-p210277378.html?spid=210277384,128000,160000,20,4.6,218,Ryszard Kapuściński,Tiki Trading,Root,Nhà Xuất Bản Thế Giới,"Sơ lược về tác phẩmTrước hết là cái nhìn: Ryszard Kapuściński, đó là một cái nhìn luôn luôn độc đáo và thấu suốt, cho dù đối tượng sự quan sát của ông có là gì, và cho dù không mấy khi ông thích phân..."
205279963,1111 - Nhật Ký Sáu Vạn Dặm Trên Yên Xe Cà Tàng,https://tiki.vn/product-p205279963.html?spid=205279964,239501,272160,12,4.8,82,Trần Đặng Đăng Khoa,Nhà sách NetaBooks,Sách tiếng Việt,NXB Trẻ,1111 - Nhật Ký Sáu Vạn Dặm Trên Yên Xe Cà TàngTrần Đặng Đăng Khoa bắt đầu hành trình vạn dặm vòng quanh thế giới từ ngày 01/06/2017 tại cửa khẩu Mộc Bài (Tây Ninh). Với chiếc xe 100cc mang biển số Vi...
194960746,"Sách Đà Lạt, một thời hương xa - Du Khảo Văn Hóa Đà Lạt 1954 - 1975",https://tiki.vn/product-p194960746.html?spid=194960747,125000,195000,36,4.0,58,Nguyễn Vĩnh Nguyên,Tiki Trading,Du ký,NXB Trẻ,"Đà Lạt được kiến tạo từ những cuộc du hành văn hóa trong quá khứ. Đà Lạt từng là không gian văn hóa đô thị có sức hấp dẫn riêng, nơi gặp gỡ của những khát vọng tri thức lớn, điểm đến của những hành tr..."
193209826,Sách Con Đường Tơ Lụa - Vạn Dặm Xa Từ Pakistan Tới Tây An,https://tiki.vn/product-p193209826.html?spid=193209828,82560,129000,36,4.8,300,Trần Hồng Ngọc,Tiki Trading,Du ký,Nhà Xuất Bản Lao Động,Con đường tơ lụa là một trong những tuyến đường giao thương quan trọng và vĩ đại của nhân loại trong suốt hơn 1.500 năm lịch sử. Đặt chân tới những địa danh trên con đường tơ lụa có lẽ là mơ ước của r...
111582626,Sách Tôi Nghĩ Tôi Thích Nước Mỹ - Du Ký (Dương Thụy) (Tái Bản),https://tiki.vn/product-p111582626.html?spid=111582628,88000,118000,25,5.0,161,Dương Thụy,Tiki Trading,Sách tiếng Việt,NXB Trẻ,"Qua những câu chuyện cụ thể mà tác giả chứng kiến trên đất Mỹ, người đọc có thể vừa thư giãn với giọng văn vui tươi dí dỏm, vừa cảm nhận một nước Mỹ dù to lớn nhưng rất gần gũi...."
109982962,Sách Sự Thật Ta Nắm Giữ - Một Hành Trình Xuyên Nước Mỹ,https://tiki.vn/product-p109982962.html?spid=109982963,116700,195000,40,4.8,108,Kamala Harris,Tiki Trading,Du ký,Nhà Xuất Bản Dân Trí,"Được viết bởi một nhà lãnh đạo chính trị quyền lực bậc nhất Hoa Kỳ, nhưng cuốn sách không hề khiến độc giả ngợp trong những vấn đề chính trị khô khan. Như tác giả cũng khẳng định, đây không phải cương..."
